id,text,aspect,aspect_term,sentiment
336,The food was delicious,food,food,positive
337,The food was terrible,food,food,negative
338,Battery life is excellent,battery,battery,positive
339,Price is too high,price,price,negative
340,The service was slow,service,service,negative
341,Price is too high,price,price,negative
342,Price is too high,price,price,negative
343,Camera quality is great,camera,camera,positive
344,The service was slow,service,service,negative
345,Delivery was fast,delivery,delivery,positive
346,The service was quick,service,service,positive
347,Design looks premium,design,design,positive
348,The service was quick,service,service,positive
349,Battery life is excellent,battery,battery,positive
350,Battery life is excellent,battery,battery,positive
351,The service was quick,service,service,positive
352,The service was slow,service,service,negative
353,Price is too high,price,price,negative
354,Design feels cheap,design,design,negative
355,Camera is disappointing,camera,camera,negative
356,Battery life is excellent,battery,battery,positive
357,Design feels cheap,design,design,negative
358,Camera is disappointing,camera,camera,negative
359,Camera quality is great,camera,camera,positive
360,Price is too high,price,price,negative
361,Camera quality is great,camera,camera,positive
362,Battery drains quickly,battery,battery,positive
363,The food was terrible,food,food,negative
364,The food was terrible,food,food,negative
365,Battery life is excellent,battery,battery,positive
366,Price is too high,price,price,negative
367,Battery life is excellent,battery,battery,positive
368,Delivery was late,delivery,delivery,negative
369,Price is reasonable,price,price,positive
370,Design looks premium,design,design,positive
371,Design looks premium,design,design,positive
372,Performance is smooth,performance,performance,positive
373,The service was slow,service,service,negative
374,Delivery was fast,delivery,delivery,positive
375,Price is too high,price,price,negative
376,Delivery was fast,delivery,delivery,positive
377,The service was quick,service,service,positive
378,Performance is laggy,performance,performance,negative
379,Performance is laggy,performance,performance,negative
380,Price is reasonable,price,price,positive
381,Battery drains quickly,battery,battery,positive
382,The food was delicious,food,food,positive
383,Performance is smooth,performance,performance,positive
384,Price is too high,price,price,negative
385,Performance is smooth,performance,performance,positive
386,Price is too high,price,price,negative
387,Camera is disappointing,camera,camera,negative
388,Delivery was fast,delivery,delivery,positive
389,Camera is disappointing,camera,camera,negative
390,Design feels cheap,design,design,negative
391,Camera is disappointing,camera,camera,negative
392,Design feels cheap,design,design,negative
393,Camera is disappointing,camera,camera,negative
394,Delivery was late,delivery,delivery,negative
395,Delivery was fast,delivery,delivery,positive
396,The service was quick,service,service,positive
397,The service was slow,service,service,negative
398,Design feels cheap,design,design,negative
399,Price is reasonable,price,price,positive
400,Battery drains quickly,battery,battery,positive
401,Camera quality is great,camera,camera,positive
402,The service was slow,service,service,negative
403,Delivery was late,delivery,delivery,negative
404,Design looks premium,design,design,positive
405,Design looks premium,design,design,positive
406,Delivery was fast,delivery,delivery,positive
407,Delivery was fast,delivery,delivery,positive
408,Camera is disappointing,camera,camera,negative
409,The service was slow,service,service,negative
410,Camera quality is great,camera,camera,positive
411,Design feels cheap,design,design,negative
412,Price is reasonable,price,price,positive
413,Design feels cheap,design,design,negative
414,The food was delicious,food,food,positive
415,The food was delicious,food,food,positive
416,Delivery was late,delivery,delivery,negative
417,Price is reasonable,price,price,positive
418,The food was delicious,food,food,positive
419,The food was terrible,food,food,negative
420,Battery life is excellent,battery,battery,positive
421,The service was quick,service,service,positive
422,Design looks premium,design,design,positive
423,Performance is laggy,performance,performance,negative
424,Design feels cheap,design,design,negative
425,The service was slow,service,service,negative
426,Design feels cheap,design,design,negative
427,Price is too high,price,price,negative
428,Delivery was fast,delivery,delivery,positive
429,Delivery was late,delivery,delivery,negative
430,Camera quality is great,camera,camera,positive
431,The food was delicious,food,food,positive
432,Camera is disappointing,camera,camera,negative
433,The service was slow,service,service,negative
434,Battery drains quickly,battery,battery,positive
435,Delivery was fast,delivery,delivery,positive
436,Delivery was fast,delivery,delivery,positive
437,Battery drains quickly,battery,battery,positive
438,Delivery was late,delivery,delivery,negative
439,Price is reasonable,price,price,positive
440,Delivery was late,delivery,delivery,negative
441,Design looks premium,design,design,positive
442,Battery life is excellent,battery,battery,positive
443,Design looks premium,design,design,positive
444,The food was terrible,food,food,negative
445,Camera is disappointing,camera,camera,negative
446,Delivery was late,delivery,delivery,negative
447,Price is too high,price,price,negative
448,Battery drains quickly,battery,battery,positive
449,Delivery was late,delivery,delivery,negative
450,Price is too high,price,price,negative
451,Performance is smooth,performance,performance,positive
452,Performance is laggy,performance,performance,negative
453,Performance is laggy,performance,performance,negative
454,The service was slow,service,service,negative
455,The food was delicious,food,food,positive
456,Price is too high,price,price,negative
457,Design looks premium,design,design,positive
458,Delivery was late,delivery,delivery,negative
459,The food was terrible,food,food,negative
460,Delivery was fast,delivery,delivery,positive
461,The service was quick,service,service,positive
462,Delivery was fast,delivery,delivery,positive
463,The service was quick,service,service,positive
464,The food was delicious,food,food,positive
465,Price is too high,price,price,negative
466,Design feels cheap,design,design,negative
467,Camera quality is great,camera,camera,positive
468,The food was delicious,food,food,positive
469,Design feels cheap,design,design,negative
470,The food was terrible,food,food,negative
471,Price is too high,price,price,negative
472,Performance is smooth,performance,performance,positive
473,Battery life is excellent,battery,battery,positive
474,The food was delicious,food,food,positive
475,Camera quality is great,camera,camera,positive
476,Design feels cheap,design,design,negative
477,Battery life is excellent,battery,battery,positive
478,Delivery was late,delivery,delivery,negative
479,Battery drains quickly,battery,battery,positive
480,Performance is laggy,performance,performance,negative
481,The service was quick,service,service,positive
482,Battery life is excellent,battery,battery,positive
483,The service was slow,service,service,negative
484,Battery drains quickly,battery,battery,positive
485,Price is too high,price,price,negative
486,The food was delicious,food,food,positive
487,Delivery was fast,delivery,delivery,positive
488,Camera quality is great,camera,camera,positive
489,Design feels cheap,design,design,negative
490,Battery drains quickly,battery,battery,positive
491,The service was quick,service,service,positive
492,Performance is laggy,performance,performance,negative
493,Performance is laggy,performance,performance,negative
494,The service was quick,service,service,positive
495,Delivery was late,delivery,delivery,negative
496,Price is reasonable,price,price,positive
497,The food was terrible,food,food,negative
498,Delivery was fast,delivery,delivery,positive
499,Design looks premium,design,design,positive
500,The service was quick,service,service,positive
501,Price is too high,price,price,negative
502,Delivery was late,delivery,delivery,negative
503,The service was slow,service,service,negative
504,The service was slow,service,service,negative
505,Design feels cheap,design,design,negative
506,Price is too high,price,price,negative
507,Price is reasonable,price,price,positive
508,The food was terrible,food,food,negative
509,Performance is laggy,performance,performance,negative
510,The food was delicious,food,food,positive
511,The food was delicious,food,food,positive
512,Camera is disappointing,camera,camera,negative
513,Delivery was late,delivery,delivery,negative
514,Camera is disappointing,camera,camera,negative
515,Battery drains quickly,battery,battery,positive
516,Performance is smooth,performance,performance,positive
517,The service was quick,service,service,positive
518,Camera quality is great,camera,camera,positive
519,Battery drains quickly,battery,battery,positive
520,Design looks premium,design,design,positive
521,Design feels cheap,design,design,negative
522,Delivery was late,delivery,delivery,negative
523,Price is too high,price,price,negative
524,Camera quality is great,camera,camera,positive
525,Price is reasonable,price,price,positive
526,Design looks premium,design,design,positive
527,The service was quick,service,service,positive
528,The food was terrible,food,food,negative
529,The service was quick,service,service,positive
530,Performance is smooth,performance,performance,positive
531,Design looks premium,design,design,positive
532,Battery drains quickly,battery,battery,positive
533,Camera is disappointing,camera,camera,negative
534,Delivery was late,delivery,delivery,negative
535,The food was terrible,food,food,negative
536,Camera is disappointing,camera,camera,negative
537,Delivery was fast,delivery,delivery,positive
538,The service was slow,service,service,negative
539,Design feels cheap,design,design,negative
540,The service was slow,service,service,negative
541,Performance is smooth,performance,performance,positive
542,The service was quick,service,service,positive
543,Delivery was fast,delivery,delivery,positive
544,The service was slow,service,service,negative
545,Delivery was fast,delivery,delivery,positive
546,Camera quality is great,camera,camera,positive
547,Price is reasonable,price,price,positive
548,Design feels cheap,design,design,negative
549,The service was slow,service,service,negative
550,The service was slow,service,service,negative
551,Performance is smooth,performance,performance,positive
552,The food was terrible,food,food,negative
553,Design feels cheap,design,design,negative
554,Price is too high,price,price,negative
555,The service was slow,service,service,negative
556,Performance is laggy,performance,performance,negative
557,Performance is smooth,performance,performance,positive
558,The service was slow,service,service,negative
559,Performance is laggy,performance,performance,negative
560,The food was terrible,food,food,negative
561,The food was terrible,food,food,negative
562,Performance is laggy,performance,performance,negative
563,Battery drains quickly,battery,battery,positive
564,Camera quality is great,camera,camera,positive
565,Price is reasonable,price,price,positive
566,The service was slow,service,service,negative
567,Camera quality is great,camera,camera,positive
568,The service was quick,service,service,positive
569,Camera quality is great,camera,camera,positive
570,Camera quality is great,camera,camera,positive
571,Performance is smooth,performance,performance,positive
572,Design looks premium,design,design,positive
573,The service was quick,service,service,positive
574,Performance is laggy,performance,performance,negative
575,The food was terrible,food,food,negative
576,Design feels cheap,design,design,negative
577,The food was delicious,food,food,positive
578,Battery drains quickly,battery,battery,positive
579,Performance is smooth,performance,performance,positive
580,The food was delicious,food,food,positive
581,Price is reasonable,price,price,positive
582,Camera quality is great,camera,camera,positive
583,Delivery was late,delivery,delivery,negative
584,Battery drains quickly,battery,battery,positive
585,Design looks premium,design,design,positive
586,Camera is disappointing,camera,camera,negative
587,Delivery was fast,delivery,delivery,positive
588,The food was terrible,food,food,negative
589,Camera is disappointing,camera,camera,negative
590,The service was slow,service,service,negative
591,Battery life is excellent,battery,battery,positive
592,Delivery was late,delivery,delivery,negative
593,Delivery was late,delivery,delivery,negative
594,Performance is smooth,performance,performance,positive
595,Camera quality is great,camera,camera,positive
596,Design feels cheap,design,design,negative
597,Price is too high,price,price,negative
598,Design feels cheap,design,design,negative
599,The food was terrible,food,food,negative
600,Battery life is excellent,battery,battery,positive
601,The service was quick,service,service,positive
602,Design looks premium,design,design,positive
603,Price is too high,price,price,negative
604,The service was slow,service,service,negative
605,Price is too high,price,price,negative
606,The food was delicious,food,food,positive
607,Delivery was late,delivery,delivery,negative
608,Camera is disappointing,camera,camera,negative
609,Camera is disappointing,camera,camera,negative
610,The food was delicious,food,food,positive
611,Battery life is excellent,battery,battery,positive
612,Camera quality is great,camera,camera,positive
613,The food was delicious,food,food,positive
614,Camera quality is great,camera,camera,positive
615,Delivery was fast,delivery,delivery,positive
616,The service was quick,service,service,positive
617,The service was slow,service,service,negative
618,The service was slow,service,service,negative
619,Performance is smooth,performance,performance,positive
620,The service was quick,service,service,positive
621,Battery life is excellent,battery,battery,positive
622,The service was slow,service,service,negative
623,Performance is laggy,performance,performance,negative
624,Price is reasonable,price,price,positive
625,Delivery was fast,delivery,delivery,positive
626,Design feels cheap,design,design,negative
627,Price is too high,price,price,negative
628,The service was slow,service,service,negative
629,Delivery was fast,delivery,delivery,positive
630,Price is too high,price,price,negative
631,Design feels cheap,design,design,negative
632,Price is reasonable,price,price,positive
633,The service was quick,service,service,positive
634,Price is too high,price,price,negative
635,Performance is laggy,performance,performance,negative
636,Design feels cheap,design,design,negative
637,Battery drains quickly,battery,battery,positive
638,Design looks premium,design,design,positive
639,The service was slow,service,service,negative
640,Performance is laggy,performance,performance,negative
641,Battery life is excellent,battery,battery,positive
642,Camera is disappointing,camera,camera,negative
643,The food was delicious,food,food,positive
644,The service was slow,service,service,negative
645,Design feels cheap,design,design,negative
646,Camera is disappointing,camera,camera,negative
647,Design feels cheap,design,design,negative
648,Design looks premium,design,design,positive
649,Price is too high,price,price,negative
650,Delivery was late,delivery,delivery,negative
651,Performance is smooth,performance,performance,positive
652,Battery life is excellent,battery,battery,positive
653,Battery life is excellent,battery,battery,positive
654,Delivery was fast,delivery,delivery,positive
655,Delivery was fast,delivery,delivery,positive
656,Delivery was late,delivery,delivery,negative
657,The service was slow,service,service,negative
658,The service was quick,service,service,positive
659,Delivery was late,delivery,delivery,negative
660,Price is too high,price,price,negative
661,Battery drains quickly,battery,battery,positive
662,The food was terrible,food,food,negative
663,Price is reasonable,price,price,positive
664,Design feels cheap,design,design,negative
665,Camera quality is great,camera,camera,positive
666,The service was slow,service,service,negative
667,Design feels cheap,design,design,negative
668,Camera is disappointing,camera,camera,negative
669,The service was quick,service,service,positive
670,Design feels cheap,design,design,negative
671,Performance is laggy,performance,performance,negative
672,Price is too high,price,price,negative
673,The service was slow,service,service,negative
674,The food was delicious,food,food,positive
675,Delivery was late,delivery,delivery,negative
676,Design looks premium,design,design,positive
677,The food was delicious,food,food,positive
678,Price is reasonable,price,price,positive
679,Camera quality is great,camera,camera,positive
680,The service was slow,service,service,negative
681,Camera quality is great,camera,camera,positive
682,Performance is laggy,performance,performance,negative
683,The service was slow,service,service,negative
684,Price is reasonable,price,price,positive
685,Delivery was late,delivery,delivery,negative
686,Design looks premium,design,design,positive
687,Battery life is excellent,battery,battery,positive
688,Price is reasonable,price,price,positive
689,Delivery was late,delivery,delivery,negative
690,Delivery was fast,delivery,delivery,positive
691,Delivery was fast,delivery,delivery,positive
692,The food was terrible,food,food,negative
693,Design feels cheap,design,design,negative
694,Performance is smooth,performance,performance,positive
695,Delivery was late,delivery,delivery,negative
696,Battery drains quickly,battery,battery,positive
697,Price is too high,price,price,negative
698,Delivery was late,delivery,delivery,negative
699,Price is too high,price,price,negative
700,Camera is disappointing,camera,camera,negative
701,The service was slow,service,service,negative
702,Delivery was fast,delivery,delivery,positive
703,Performance is laggy,performance,performance,negative
704,Battery life is excellent,battery,battery,positive
705,Delivery was fast,delivery,delivery,positive
706,The service was slow,service,service,negative
707,Camera is disappointing,camera,camera,negative
708,The food was terrible,food,food,negative
709,The food was terrible,food,food,negative
710,Design feels cheap,design,design,negative
711,Price is too high,price,price,negative
712,Battery drains quickly,battery,battery,positive
713,The food was delicious,food,food,positive
714,Design looks premium,design,design,positive
715,Delivery was late,delivery,delivery,negative
716,Camera quality is great,camera,camera,positive
717,Price is too high,price,price,negative
718,Price is too high,price,price,negative
719,Price is too high,price,price,negative
720,Performance is smooth,performance,performance,positive
721,The service was slow,service,service,negative
722,Battery drains quickly,battery,battery,positive
723,Design looks premium,design,design,positive
724,The service was slow,service,service,negative
725,Battery drains quickly,battery,battery,positive
726,Camera quality is great,camera,camera,positive
727,The food was terrible,food,food,negative
728,Camera is disappointing,camera,camera,negative
729,Performance is smooth,performance,performance,positive
730,Camera quality is great,camera,camera,positive
731,The service was slow,service,service,negative
732,Delivery was fast,delivery,delivery,positive
733,Design feels cheap,design,design,negative
734,The food was terrible,food,food,negative
735,The service was slow,service,service,negative
736,Design feels cheap,design,design,negative
737,Delivery was fast,delivery,delivery,positive
738,Battery drains quickly,battery,battery,positive
739,Performance is laggy,performance,performance,negative
740,Battery drains quickly,battery,battery,positive
741,Performance is laggy,performance,performance,negative
742,The food was terrible,food,food,negative
743,The service was slow,service,service,negative
744,The service was slow,service,service,negative
745,Performance is laggy,performance,performance,negative
746,Camera is disappointing,camera,camera,negative
747,Delivery was late,delivery,delivery,negative
748,Camera quality is great,camera,camera,positive
749,The food was delicious,food,food,positive
750,The service was slow,service,service,negative
751,Delivery was late,delivery,delivery,negative
752,The service was quick,service,service,positive
753,The service was quick,service,service,positive
754,The food was delicious,food,food,positive
755,Design looks premium,design,design,positive
756,Design looks premium,design,design,positive
757,Delivery was fast,delivery,delivery,positive
758,Camera quality is great,camera,camera,positive
759,Design feels cheap,design,design,negative
760,Battery drains quickly,battery,battery,positive
761,Design looks premium,design,design,positive
762,Price is reasonable,price,price,positive
763,Performance is smooth,performance,performance,positive
764,The food was delicious,food,food,positive
765,The service was slow,service,service,negative
766,The service was quick,service,service,positive
767,Delivery was fast,delivery,delivery,positive
768,Battery life is excellent,battery,battery,positive
769,Price is reasonable,price,price,positive
770,The food was terrible,food,food,negative
771,Design feels cheap,design,design,negative
772,Design feels cheap,design,design,negative
773,The food was delicious,food,food,positive
774,Delivery was late,delivery,delivery,negative
775,The service was slow,service,service,negative
776,The food was delicious,food,food,positive
777,The service was quick,service,service,positive
778,Delivery was fast,delivery,delivery,positive
779,Design feels cheap,design,design,negative
780,The service was slow,service,service,negative
781,Design looks premium,design,design,positive
782,Performance is smooth,performance,performance,positive
783,Battery drains quickly,battery,battery,positive
784,Delivery was late,delivery,delivery,negative
785,The food was terrible,food,food,negative
786,The service was slow,service,service,negative
787,Battery drains quickly,battery,battery,positive
788,Camera is disappointing,camera,camera,negative
789,Delivery was fast,delivery,delivery,positive
790,Design feels cheap,design,design,negative
791,Battery drains quickly,battery,battery,positive
